,Time,Tweet,Favorites,Retweets
68,2019-06-06 12:00:13,Looking for bloggers and writers on #recycling  #zerowastehome #zerowastelifestyle #wastefree #reuse #greenliving https://t.co/frSMcJ5DlH,1,3
69,2019-06-06 12:00:00,Have you thought about making your home sustainable and eco-friendly but dont know where to begin? A waste-free li https://t.co/LjVvI87PGV,1,0
70,2019-06-06 11:03:13,WE LOVE OUR PLANET \n.\n.\n.\n#savetheplanet #recycle #reduce #reuse #consciousness #sustainability #sustainableliving https://t.co/8s7j6WUdlS,1,1
71,2019-06-06 10:22:05,RT @WalworthGarden: We aim to give you the knowledge to live #ecofriendly and #wastefree. Our #Eco Cleaning #workshop is coming up where we,0,1
72,2019-06-06 04:46:52,RT @CambridgeJBS: A #startup supported by @CamSocVent offers #wastefree alternatives and hopes to promote #sustainable and environmentally,0,4
73,2019-06-06 04:37:37,RT @CambridgeJBS: A #startup supported by @CamSocVent offers #wastefree alternatives and hopes to promote #sustainable and environmentally,0,4
74,2019-06-06 03:59:22,Un ecoblogger busca concientizar sobre problemas medioambientales que afectan a todos y promover una vida ecolgica https://t.co/tL1Q72Ti1f,0,0
75,2019-06-06 00:08:39,RT @awesomelab644: Braved the rainy weather and have arrived at the #PollinatingPartnerships comference. Excited to be a (first time) prese,0,1
76,2019-06-05 23:17:20,#WorldEnvironmentDay RT @PourleMonde: We all know how dreadful mornings can be without coffee! Next time you get yo https://t.co/KiLh0TuIK5,1,0
77,2019-06-05 23:16:03,"We all know how dreadful mornings can be without coffee! Next time you get your daily caffeine fix, go #wastefree b https://t.co/afeNoa05my",0,0
78,2019-06-05 22:19:45,There is no away ! #throwawayculture #wastefree https://t.co/OGYpji2p73 https://t.co/Ii4seV2e89,1,0
79,2019-06-05 20:29:02,Braved the rainy weather and have arrived at the #PollinatingPartnerships comference. Excited to be a (first time) https://t.co/mF8koWyiat,2,1
80,2019-06-05 19:24:12,#bamboo #NoPlastic #wastefree #WorldEnvironmentDay #ecofriendly #WednesdayWisdom #motherearth #savetheturtles #savetheplanet,0,0
81,2019-06-05 18:42:22,MY GENERATION WILL SAVE PUR PLANET  \n.\n.\n.\n#savetheplanet #recycle #reduce #reuse #consciousness #sustainability https://t.co/BmND5pktiv,1,1
82,2019-06-05 18:41:25,Words are good  Actions are better \n.\n.\n.\n#savetheplanet #recycle #reduce #reuse #consciousness #sustainability https://t.co/31WzgxHkg5,1,1
83,2019-06-05 17:14:19,RT @CambridgeJBS: A #startup supported by @CamSocVent offers #wastefree alternatives and hopes to promote #sustainable and environmentally,0,4
84,2019-06-05 15:37:58,How to Make Perfect Homemade DIY Natural Vinegar Cleaning Spray (That Smells Great!)\n\nFor the full ariticle includi https://t.co/7QwUb23vXJ,0,0
85,2019-06-05 15:29:27,A #startup supported by @CamSocVent offers #wastefree alternatives and hopes to promote #sustainable and environmen https://t.co/4mxKYz9QLM,2,4
86,2019-06-05 15:09:24,#OnePlasticFreeDay \nIch wnsche mir Reinigungsmittel ohne Plastik. Hier in Spanien gibt es nicht mal Nachfllpackun https://t.co/903YBultrg,1,0
87,2019-06-05 14:52:09,@TimHortons @TimsCamps Is there a code to text and give to camp day? I'm not buying coffee in a disposable cups any https://t.co/LMUfY5I7HO,1,0
88,2019-06-05 09:09:36,"RT @BeStrawesome: #PlasticSucks, is about bringing awareness to the dangers of plastics and offering a solution for types of plastics that",0,2
89,2019-06-05 08:46:17,RT @FoodiefanLondon: Have a #wastefree Wednesday! Try turning your #leftovers into a fab frittata like this recipe by #GBBO judge chef #pru,0,1
90,2019-06-05 08:23:55,Have a #wastefree Wednesday! Try turning your #leftovers into a fab frittata like this recipe by #GBBO judge chef https://t.co/OQkAN7XCoF,2,1
91,2019-06-05 00:21:53,RT @MightyNest: How many plastic forks and spoons do you toss away each week? We take these everywhere we go! https://t.co/TUAYppN6Fl #wast,0,1
92,2019-06-04 20:40:39,Today is the kids school BBQ.\n\nReally proud of my wife who has tried to implement a waste-free event. People have https://t.co/B66jn8G85C,9,0
93,2019-06-04 19:10:27,Love this summer dress from belkazan \n.\n.\n.\n#savetheplanet #recycle #reduce #reuse #consciousness #sustainability https://t.co/egMDW6N96L,0,0
94,2019-06-04 17:03:59,"My colleague and I each ordered our @TimHortons sandwiches to dine-in. Both came wrapped, but on a plate. Staff ins https://t.co/THyOvg9cu5",1,0
95,2019-06-04 16:44:48,"RT @TheNutramilk: Not your average toast!  Our friend Abby made a delicious toast topped with homemade, #zerowaste pecan butter and some r",0,1
96,2019-06-04 16:14:09,"Not your average toast!  Our friend Abby made a delicious toast topped with homemade, #zerowaste pecan butter and https://t.co/fioDg1IrOg",3,1
97,2019-06-04 15:15:23,Its tough to keep your environmental impact to a minimum while youre away from home. And when youre in a highly- https://t.co/PX4NAN6b4s,0,0
98,2019-06-04 15:13:35,"RT @BeStrawesome: #PlasticSucks, is about bringing awareness to the dangers of plastics and offering a solution for types of plastics that",0,2
99,2019-06-04 14:28:02,"#PlasticSucks, is about bringing awareness to the dangers of plastics and offering a solution for types of plastics https://t.co/9TXtHqxTWZ",2,2
