,Time,Tweet,Favorites,Retweets
53,2019-06-06 12:00:13,Looking for bloggers and writers on #recycling  #zerowastehome #zerowastelifestyle #wastefree #reuse #greenliving https://t.co/frSMcJ5DlH,1,3
54,2019-06-06 09:38:02,#stopplasticpollution #stopusingplastic #plasticfree #zerowaste #noplastic #reuse #sustainable #recycle https://t.co/LEu9R32ufE,1,0
55,2019-06-06 09:00:37,#sustainability #sustainableliving #gogreen #saynotoplastic #vegan #environment #nature #plasticpollution #eco https://t.co/5PmreEb7SG,0,0
56,2019-06-06 05:04:03,RT @PristineFamily: Happy #worldenvironmentday!\n\n#saynotoplastic #savetheplanet #goorganic #savewater #zerowasteliving #beatairpollution ht,0,2
57,2019-06-06 02:55:18,#mesquitewood #smoked #mesquitetree #glutenfree #zerowasteshopping #waronwaste #zerowasteshop #reducewaste https://t.co/5UFbucBBTZ,0,0
58,2019-06-06 01:22:44,Porque  to importante cuidar do meio ambiente e a relao com a sustentabilidade e o amor prprio  https://t.co/IGPvFSik8w,2,0
59,2019-06-05 22:59:50,#cheaperbuymiles #kensington #newmarket #cheese #cheeseplate #cheeseboard #cheeseplatter #antipasto https://t.co/yHv7MPveMk,0,0
60,2019-06-05 22:43:37,Homemade popsicles made from our strawberries that were starting to get mushy.  \n\n#zilch #homemade #diy https://t.co/BYJnAEpIWN,0,0
61,2019-06-05 21:33:36,"RT @PsychologiesMag: This #WorldEnvironmentDay this is 1 of our fav #quotes fr #MargaretMead who also said: ""We don\'t have a society if we",0,1
62,2019-06-05 19:10:08,"This #WorldEnvironmentDay this is 1 of our fav #quotes fr #MargaretMead who also said: ""We don\'t have a society if https://t.co/tUc2rUht6E",7,1
63,2019-06-05 14:11:32,Can you believe M&amp;S shipping peeled garlic from china?!!  Are they mad?\n@marksandspencer #proudtobegreen https://t.co/oBUHq9ptBL,1,0
64,2019-06-05 14:01:39,Credit: @paleyphoto \nThis sight is to become far too common if we don't lower the amount of single use #plastic bei https://t.co/tJ62ry8wzg,0,0
65,2019-06-05 13:55:53,SUPERMOM IN TRAINING: 8 WAYS TO HELP YOUR CHILD CUT DOWN ON WASTE. A little can go a long way - find out how from o https://t.co/TCNsZdfTjv,0,0
66,2019-06-05 13:05:55,RT @bthechangeuk: #bthechange #bethechange #compostable #zerowaste #zerowastehome #zerowasteliving #endoflife #sustainable #eco #gogreen #s,0,1
67,2019-06-05 13:04:16,#bthechange #bethechange #compostable #zerowaste #zerowastehome #zerowasteliving #endoflife #sustainable #eco https://t.co/LgXnaUTxWa,2,1
68,2019-06-05 12:09:17,"Education. Policy. Consumer &amp; Citizen Power. Where there's a will, there are many ways. #sustainability https://t.co/CxqYdUyxIo",0,0
69,2019-06-05 09:23:38,RT @ToastAle: The awesome people at @zerowastenearme have complied the most amazing map highlighting all the #zerowaste shops across the UK,0,4
70,2019-06-05 08:45:51,"RT @Pier_PR: This #WorldEnvironmentDay weve supplied the team with a reusable bamboo cup each, in the hope that even the smallest of chang",0,1
71,2019-06-05 08:00:00,Want to go #plasticfree ? @SWOPZeroWaste is designed so you can shop without packaging and start #zerowasteliving F https://t.co/nuEDVbJbCM,3,0
72,2019-06-05 07:45:39,"Pick an item u want to see go plastic-free, take a picture &amp; share it using #oneplasticfreeday @aplasticplanet https://t.co/0FAiQqS68S",1,0
73,2019-06-05 07:44:01,RT @ToastAle: The awesome people at @zerowastenearme have complied the most amazing map highlighting all the #zerowaste shops across the UK,0,4
74,2019-06-05 07:40:06,"This #WorldEnvironmentDay weve supplied the team with a reusable bamboo cup each, in the hope that even the smalle https://t.co/quGsWddFyc",2,1
75,2019-06-05 07:32:55,RT @ToastAle: The awesome people at @zerowastenearme have complied the most amazing map highlighting all the #zerowaste shops across the UK,0,4
76,2019-06-05 06:24:46,Verdens miljdag!! Vi kan alle gjre noe https://t.co/Af3jHgcyC3 #miljvennlig #tygbljor #babyequipment https://t.co/q3fwivZ0L7,0,0
77,2019-06-05 06:15:21,The awesome people at @zerowastenearme have complied the most amazing map highlighting all the #zerowaste shops acr https://t.co/SrMztGCoe9,6,4
78,2019-06-05 06:04:54,Happy #worldenvironmentday!\n\n#saynotoplastic #savetheplanet  #savewater #zerowasteliving #beatairpollution https://t.co/0QBLiwK8Ka,1,0
79,2019-06-05 06:03:50,Happy #worldenvironmentday!\n\n#saynotoplastic #savetheplanet #goorganic #savewater #zerowasteliving #beatairpollution https://t.co/BawuIRwWpd,6,2
80,2019-06-04 19:29:15,RT @ecofriendlybtle: Let's just all agree we can DO BETTER.  What's your #ecofriendly tip of the day? Besides ALWAYS having #reuseablewater,0,1
81,2019-06-04 18:37:47,We love our homemade gummies so much more than the store-bought ones. \n\n#zilch #zerowasteliving #zerowastehome #diy https://t.co/8Zni5odLde,0,0
82,2019-06-04 16:37:20,Haven't see a video that better conveys the energy required to clean up a plastic beach h#plasticwaste https://t.co/3Lg3BkZ70W,1,0
83,2019-06-04 14:00:12,2050 : A #Bollywood movie released on a hero who mastered #zerowasteliving.,0,0
84,2019-06-04 11:30:07,Let's just all agree we can DO BETTER.  What's your #ecofriendly tip of the day? Besides ALWAYS having https://t.co/jXpkEudk5l,1,1
85,2019-06-03 23:22:44,When your grocery store fails you for the umpteenth time.  Really?  Come on @GiantFoodStores !!\n \n#zilch https://t.co/nTSMtZeOph,0,0
